datetime,GC,HG,HO,NG,PL
2025-07-22 00:00,0.04,0.16,0.23,,0.04
2025-07-22 00:01,0.18,0.16,,0.00,0.09
2025-07-22 00:02,0.18,0.16,,,
2025-07-22 00:03,0.15,0.16,,0.01,0.09
2025-07-22 00:04,0.12,,0.23,0.01,0.07
2025-07-22 00:05,0.13,,,,0.12
2025-07-22 00:06,0.18,0.12,,,0.28
2025-07-22 00:07,0.12,,0.23,,0.32
2025-07-22 00:08,0.15,0.20,,0.03,0.55
2025-07-22 00:09,0.19,,,,0.45
2025-07-22 00:10,0.24,0.12,,,0.35
2025-07-22 00:11,0.29,0.12,,,0.77
2025-07-22 00:12,0.28,0.20,,,0.61
2025-07-22 00:13,0.21,,,,0.70
2025-07-22 00:14,0.19,,0.16,0.03,0.74
2025-07-22 00:15,0.22,0.52,,,0.72
2025-07-22 00:16,0.16,,,0.01,
2025-07-22 00:17,0.19,0.32,,0.03,0.59
2025-07-22 00:18,0.18,,,,0.43
2025-07-22 00:19,0.16,0.28,,0.01,0.51
2025-07-22 00:20,0.16,0.36,,,
2025-07-22 00:21,0.24,0.40,0.18,0.03,0.45
2025-07-22 00:22,0.22,0.40,,,
2025-07-22 00:23,0.28,,,0.01,0.45
2025-07-22 00:24,0.29,,,,0.35
2025-07-22 00:25,0.35,,0.16,0.03,0.45
2025-07-22 00:26,0.35,0.48,,,0.45
2025-07-22 00:27,0.41,0.61,0.16,,0.59
2025-07-22 00:28,0.41,,,,
2025-07-22 00:29,0.43,,,0.03,0.53
2025-07-22 00:30,0.41,,,0.04,0.79
2025-07-22 00:31,0.41,,,0.06,
2025-07-22 00:32,0.58,0.52,,0.06,
2025-07-22 00:33,0.51,,,0.07,
2025-07-22 00:34,0.35,,,,
2025-07-22 00:35,0.49,0.57,0.13,,0.53
2025-07-22 00:36,0.75,,0.16,,0.61
2025-07-22 00:37,1.20,0.79,,0.07,0.65
2025-07-22 00:38,1.55,2.16,,,0.84
2025-07-22 00:39,1.05,1.44,,,0.77
2025-07-22 00:40,1.93,1.85,,,0.84
2025-07-22 00:41,1.77,1.74,,0.04,
2025-07-22 00:42,1.81,2.00,0.16,0.04,0.63
2025-07-22 00:43,2.02,1.85,,,
