datetime, rank
13/07/2025 23:01:00,2.32
13/07/2025 23:02:00,2.89
13/07/2025 23:03:00,2.89
13/07/2025 23:04:00,2.89
13/07/2025 23:05:00,2.89
13/07/2025 23:06:00,2.89
13/07/2025 23:07:00,2.89
13/07/2025 23:08:00,2.89
13/07/2025 23:09:00,2.89
13/07/2025 23:10:00,2.89
13/07/2025 23:11:00,2.89
13/07/2025 23:12:00,2.89
13/07/2025 23:13:00,2.89
13/07/2025 23:14:00,2.89
13/07/2025 23:15:00,2.89
13/07/2025 23:16:00,2.89
13/07/2025 23:17:00,2.89
13/07/2025 23:18:00,2.89
13/07/2025 23:19:00,2.89
13/07/2025 23:20:00,2.89
13/07/2025 23:21:00,2.89
13/07/2025 23:22:00,2.89
13/07/2025 23:23:00,2.89
13/07/2025 23:24:00,2.89
13/07/2025 23:25:00,2.89
13/07/2025 23:26:00,2.89
13/07/2025 23:27:00,2.89
13/07/2025 23:28:00,2.89
13/07/2025 23:29:00,2.89
13/07/2025 23:30:00,3.15
13/07/2025 23:31:00,3.15
13/07/2025 23:32:00,3.15
13/07/2025 23:33:00,3.15
13/07/2025 23:34:00,3.15
13/07/2025 23:35:00,3.15
13/07/2025 23:36:00,3.15
13/07/2025 23:37:00,3.15
13/07/2025 23:38:00,3.15
13/07/2025 23:39:00,3.15
13/07/2025 23:40:00,3.15
13/07/2025 23:41:00,3.15
13/07/2025 23:42:00,3.15
13/07/2025 23:43:00,3.15
13/07/2025 23:44:00,3.15
13/07/2025 23:45:00,3.15
13/07/2025 23:46:00,3.15
13/07/2025 23:47:00,3.15
13/07/2025 23:48:00,3.15
13/07/2025 23:49:00,3.15
13/07/2025 23:50:00,3.15
13/07/2025 23:51:00,3.15
13/07/2025 23:52:00,3.15
13/07/2025 23:53:00,3.15
13/07/2025 23:54:00,3.15
13/07/2025 23:55:00,3.15
13/07/2025 23:56:00,3.15
13/07/2025 23:57:00,3.15
13/07/2025 23:58:00,3.15
13/07/2025 23:59:00,3.15
