datetime, ask, ask_size, bid, bid_size
26/03/2025 07:21:03,3030.6000000000,3030.59999999999991,3,3030.5000000000,2
26/03/2025 07:21:07,3030.6000000000,3030.59999999999991,3,3030.5000000000,2
26/03/2025 07:21:07,3030.6000000000,3030.59999999999991,3,3030.5000000000,2
26/03/2025 07:21:07,3030.6000000000,3030.59999999999991,3,3030.5000000000,2
26/03/2025 07:21:07,3030.6000000000,3030.59999999999991,3,3030.5000000000,2
26/03/2025 07:21:07,3030.6000000000,3030.59999999999991,3,3030.5000000000,2
26/03/2025 07:21:10,3030.6000000000,3030.59999999999991,3,3030.5000000000,2
26/03/2025 07:21:21,3030.6000000000,3030.59999999999991,3,3030.5000000000,2
26/03/2025 07:21:26,3030.6000000000,3030.59999999999991,3,3030.5000000000,2
26/03/2025 07:21:26,3030.6000000000,3030.59999999999991,3,3030.5000000000,2
26/03/2025 07:21:26,3030.6000000000,3030.59999999999991,3,3030.5000000000,2
26/03/2025 07:21:26,3030.4000000000,3030.40000000000009,1,3030.2000000000,8
26/03/2025 07:21:31,3030.4000000000,3030.40000000000009,1,3030.2000000000,9
26/03/2025 07:21:33,3030.4000000000,3030.40000000000009,2,3030.2000000000,5
26/03/2025 07:21:35,3030.3000000000,3030.30000000000018,4,3030.2000000000,1
