datetime, lowest_spread, highest_spread
05/05/2025 09:07:20,3,1
05/05/2025 09:07:21,3,2
05/05/2025 09:07:24,3,1
05/05/2025 09:07:32,3,1
05/05/2025 09:08:01,3,1
05/05/2025 09:09:05,4,1
05/05/2025 09:09:54,3,2
05/05/2025 09:10:06,3,2
05/05/2025 09:11:03,4,1
05/05/2025 09:11:16,3,2
05/05/2025 09:11:43,3,2
05/05/2025 09:12:25,3,2
05/05/2025 09:14:35,3,2
05/05/2025 09:17:37,3,1
05/05/2025 09:17:37,3,2
05/05/2025 09:18:19,3,2
05/05/2025 09:20:14,4,2
05/05/2025 09:20:32,3,2
05/05/2025 09:21:11,3,2
05/05/2025 09:23:42,4,1
05/05/2025 09:24:04,3,2
05/05/2025 09:27:01,4,1
05/05/2025 09:27:02,2,2
05/05/2025 09:28:29,3,1
05/05/2025 09:29:21,5,1
05/05/2025 09:29:22,5,2
05/05/2025 09:29:23,4,2
05/05/2025 09:29:31,3,1
05/05/2025 09:30:28,3,1
05/05/2025 09:31:17,3,1
05/05/2025 09:31:27,3,2
05/05/2025 09:31:46,3,2
05/05/2025 09:32:30,3,1
05/05/2025 09:32:56,3,1
05/05/2025 09:33:01,3,1
05/05/2025 09:33:54,3,1
datetime, lowest_spread, highest_spread
05/05/2025 09:33:01,3,3
05/05/2025 09:33:54,3,3
05/05/2025 09:34:08,3,2
datetime, lowest_spread, highest_spread
05/05/2025 09:34:08,2,2
05/05/2025 09:35:19,3,1
05/05/2025 09:37:36,3,1
05/05/2025 09:38:13,3,1
05/05/2025 09:39:40,4,1
05/05/2025 09:40:25,3,2
05/05/2025 09:41:37,3,1
05/05/2025 09:42:18,3,1
05/05/2025 09:43:27,3,1
05/05/2025 09:43:36,3,1
05/05/2025 09:43:38,3,2
05/05/2025 09:43:40,3,2
05/05/2025 09:44:02,3,1
05/05/2025 09:46:36,4,1
05/05/2025 09:48:59,4,1
05/05/2025 09:51:59,3,1
05/05/2025 09:52:17,3,2
05/05/2025 09:52:27,3,2
05/05/2025 09:52:53,3,1
05/05/2025 09:52:53,3,2
05/05/2025 09:53:26,3,1
05/05/2025 09:55:44,3,1
05/05/2025 09:55:54,3,2
05/05/2025 09:57:33,4,1
