datetime, lowest_spread, highest_spread
06/05/2025 07:09:48,3,1
06/05/2025 07:10:21,3,1
06/05/2025 07:11:05,3,1
06/05/2025 07:12:13,3,1
06/05/2025 07:12:23,3,2
06/05/2025 07:13:18,4,1
06/05/2025 07:13:26,3,1
06/05/2025 07:14:46,3,2
06/05/2025 07:15:37,3,2
06/05/2025 07:15:56,4,1
06/05/2025 07:16:21,4,1
06/05/2025 07:16:35,4,2
06/05/2025 07:18:30,10,1
06/05/2025 07:19:40,4,2
06/05/2025 07:21:03,4,1
06/05/2025 07:21:30,4,2
06/05/2025 07:22:21,4,2
06/05/2025 07:22:48,4,1
06/05/2025 07:23:14,4,2
06/05/2025 07:23:57,4,2
06/05/2025 07:25:17,4,2
06/05/2025 07:25:45,3,2
06/05/2025 07:27:34,4,2
06/05/2025 07:28:15,3,2
06/05/2025 07:29:25,3,1
06/05/2025 07:29:49,3,1
06/05/2025 07:29:50,3,2
06/05/2025 07:30:03,3,2
06/05/2025 07:30:10,3,2
06/05/2025 07:30:23,3,2
06/05/2025 07:30:39,3,2
06/05/2025 07:30:42,3,2
06/05/2025 07:31:39,4,1
06/05/2025 07:32:17,3,2
06/05/2025 07:32:56,3,2
06/05/2025 07:33:15,3,1
06/05/2025 07:33:24,3,2
06/05/2025 07:33:41,3,2
06/05/2025 07:35:46,4,2
06/05/2025 07:36:39,3,1
06/05/2025 07:37:26,3,2
06/05/2025 07:37:54,3,1
06/05/2025 07:38:17,3,2
datetime, lowest_spread, highest_spread
06/05/2025 07:42:36,3,3
06/05/2025 07:44:51,4,1
06/05/2025 07:48:04,3,1
06/05/2025 07:49:05,3,1
06/05/2025 07:50:32,3,1
06/05/2025 07:51:05,3,2
06/05/2025 07:52:10,3,2
06/05/2025 07:54:49,3,1
06/05/2025 07:55:42,3,1
06/05/2025 07:58:22,3,1
06/05/2025 07:59:00,3,2
06/05/2025 07:59:12,3,1
06/05/2025 07:59:15,3,2
06/05/2025 08:00:00,3,1
06/05/2025 08:00:01,3,1
06/05/2025 08:00:16,3,1
06/05/2025 08:00:35,3,1
06/05/2025 08:00:54,3,1
06/05/2025 08:01:01,3,2
06/05/2025 08:01:36,4,1
06/05/2025 08:01:54,3,1
06/05/2025 08:01:56,3,2
06/05/2025 08:03:31,4,1
06/05/2025 08:03:54,3,2
06/05/2025 08:04:40,4,1
06/05/2025 08:05:01,3,2
06/05/2025 08:05:07,3,2
